
2025/01/25 (11:03:01) | ===> btop++ v.1.4.0
2025/01/25 (11:03:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (11:24:37) | ===> btop++ v.1.4.0
2025/01/25 (11:24:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (03:38:34) | ===> btop++ v.1.4.0
2025/01/26 (03:38:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (03:38:40) | ===> btop++ v.1.4.0
2025/01/26 (03:38:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (03:56:37) | ===> btop++ v.1.4.0
2025/01/26 (03:56:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (04:24:20) | ===> btop++ v.1.4.0
2025/01/26 (04:24:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (04:58:53) | ===> btop++ v.1.4.0
2025/01/26 (04:58:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (05:37:39) | ===> btop++ v.1.4.0
2025/01/26 (05:37:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (05:42:20) | ===> btop++ v.1.4.0
2025/01/26 (05:42:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (05:43:06) | ===> btop++ v.1.4.0
2025/01/26 (05:43:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (06:09:31) | ===> btop++ v.1.4.0
2025/01/26 (06:09:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (06:29:41) | ===> btop++ v.1.4.0
2025/01/26 (06:29:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (06:29:51) | ===> btop++ v.1.4.0
2025/01/26 (06:29:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (09:02:39) | ===> btop++ v.1.4.0
2025/01/26 (09:02:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (09:34:12) | ===> btop++ v.1.4.0
2025/01/26 (09:34:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (09:42:50) | ===> btop++ v.1.4.0
2025/01/26 (09:42:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (09:43:23) | ===> btop++ v.1.4.0
2025/01/26 (09:43:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (09:45:16) | ===> btop++ v.1.4.0
2025/01/26 (09:45:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (09:49:50) | ===> btop++ v.1.4.0
2025/01/26 (09:49:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (10:15:04) | ===> btop++ v.1.4.0
2025/01/26 (10:15:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (04:28:07) | ===> btop++ v.1.4.0
2025/01/26 (04:28:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (04:28:35) | ===> btop++ v.1.4.0
2025/01/26 (04:28:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (22:54:11) | ===> btop++ v.1.4.0
2025/01/26 (22:54:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (02:13:28) | ===> btop++ v.1.4.0
2025/01/27 (02:13:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (02:27:39) | ===> btop++ v.1.4.0
2025/01/27 (02:27:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (03:04:40) | ===> btop++ v.1.4.0
2025/01/27 (03:04:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (03:33:13) | ===> btop++ v.1.4.0
2025/01/27 (03:33:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (03:33:28) | ===> btop++ v.1.4.0
